Symbol	E2.5_WT_male_XK122	E2.5_WT_male_XK126	E2.5_WT_male_XK129	E2.5_WT_male_XK134	E2.5_WT_male_XK26	E2.5_WT_male_XK28	E2.5_WT_male_XK35	E2.5_WT_male_XK36	E2.5_Xist_female_XK124	E2.5_Xist_female_XK125	E2.5_Xist_female_XK128	E2.5_Xist_female_XK130	E2.5_Xist_female_XK131	E2.5_Xist_female_XK29	E2.5_Xist_female_XK30	E2.5_Xist_female_XK31	E2.5_Xist_female_XK32	E2.5_Xist_female_XK33	E2.5_Xist_female_XK34
1810013L24Rik	10.78544833	12.10987736	21.83718649	20.81787589	4.232139805	20.82563525	19.41578133	16.3427939	16.61921694	8.110032499	14.24853087	13.54225595	24.34902393	37.99303901	22.8141249	27.57358075	11.67663893	28.81488434	0.374361037
1810014B01Rik	4.520567541	5.374252763	2.711924943	2.553809887	0	0.937317513	0.414961143	4.245401561	2.161771706	7.165891578	3.53277346	2.546262871	2.093445679	1.331953402	8.924735443	0.692270709	8.43623424	0.247036698	0
1810019D21Rik	8.898322499	6.699858244	9.341807063	8.797145846	1.496418813	10.26294343	17.01693631	14.22414215	10.63812322	16.81797715	8.692425586	11.90370158	7.726417072	15.90575703	9.582285265	0.681335692	19.63973309	12.07568208	3.08859227
1810022K09Rik	474.8286904	406.7277378	313.6128165	216.6598812	343.9748143	296.780203	430.2764174	196.6891142	448.3115587	512.1832346	221.2168119	59.14822604	382.6933554	256.8511039	188.2354085	353.3170158	328.3625759	264.8036264	349.9090059
1810026B05Rik	0.949292814	0.902849385	1.388128021	2.011069423	0	1.328610669	0	0.483691359	0.226979724	0	0.079485195	0.601537894	2.307959751	0.671285868	0.474620474	0.726864054	0.613232301	0.518762655	0
1810026J23Rik	3.850325666	6.774610108	16.63085832	10.44081266	48.95130539	17.24427678	24.88196029	24.04996192	12.52054527	9.859404331	13.28252771	12.19916951	13.10549827	12.07077518	12.08343877	25.00036303	11.27560742	14.81285032	22.4522146
1810030O07Rik	0	1.579679273	2.775716334	3.21708555	1.915322991	3.173286255	0.609857357	1.080982264	5.446454375	4.860701669	14.46349321	15.03552385	1.318577761	9.955471305	8.249490367	2.979563278	17.98465057	3.111970843	0
1810032O08Rik	4.889547265	4.069038647	4.949908071	13.46600807	1.233402787	7.508631408	3.141818972	10.25854819	0	1.788643636	11.05397462	8.00408872	13.16134727	4.754213244	0	3.275892941	2.500551692	9.084814766	0
1810034E14Rik	0	2.898875519	1.219011767	4.591755847	0	2.106623712	0	3.004573755	0.647811721	0	0	3.433639721	0.941004995	1.836055633	1.041993126	0	0	1.184460083	0
1810037I17Rik	50.02267361	63.03734184	35.44813777	21.19452878	12.61836766	15.16898578	16.98959763	22.33944517	9.568497713	38.42743245	53.19326784	23.2450842	9.555635759	24.31906723	18.08413233	26.23677616	23.96627232	13.39465374	85.42489259
1810043H04Rik	172.9528877	160.9664856	132.2886869	129.8100532	49.86043252	53.79139981	114.7611162	63.98272523	96.8858817	150.0351575	35.58314043	29.22532486	53.20487956	77.7494095	53.21336554	59.40355337	38.30591567	46.7169399	121.4354452
1810044D09Rik	60.27423388	40.60546532	23.72934325	0	0	16.40305649	26.28087241	11.14041544	21.61771706	23.88630526	5.046819229	22.27980012	5.233614198	3.847865383	12.74962206	9.9994658	30.28391778	17.29256885	32.42767678
1810055G02Rik	3.891243048	16.34549565	6.127768767	19.78456332	30.10171277	9.480254447	10.47765862	4.898429504	8.063569274	17.55593645	9.340101687	9.863047997	5.406028693	16.58642929	10.97470124	9.832303963	20.52853779	21.12281903	27.82326016
1810058I24Rik	29.99823622	65.53121111	23.19820588	6.355102946	26.48500394	10.05888553	22.373481	12.58760106	27.79420764	34.2926396	28.57150886	21.38508794	13.0237404	12.70573061	16.44044269	14.64296108	12.313433	21.82347234	30.45608175
1810064F22Rik	10.60428528	9.329067785	6.202556396	11.68184975	2.13996991	3.79283781	2.822889446	2.351973026	0.507105439	3.103320018	2.308558057	2.911831889	1.473232841	2.499582405	1.794473305	1.54272317	4.110148206	1.216940119	0.662531218
2010002M12Rik	2.901761037	2.414820261	1.142393345	2.45894325	1.463955641	2.030622488	0.732501988	1.869904036	0	0.265373056	1.943737807	1.685527651	0.755880089	1.239726019	0.334800288	0.499916144	1.405878331	0.753223334	0
2010012O05Rik	59.45709698	47.74588898	36.84653536	18.0621021	190.1662231	17.35825023	35.42425642	16.47567154	52.03750089	61.14617184	31.7490388	33.64788091	35.84640901	14.01489204	24.42008577	25.33978033	35.38906024	10.97360626	76.16389052
2010107E04Rik	1625.174994	1486.827518	1039.651719	1048.461402	944.7527433	464.3766281	750.818187	502.7367161	2002.096732	1678.313726	586.8690284	288.1811485	1321.709834	623.879675	954.7831543	721.5357422	871.2700925	796.3786325	532.0603668
2010107G23Rik	2.820458085	7.376790621	6.662311277	8.365165836	0	3.947455039	8.80264193	2.536063472	4.046297126	21.15089182	13.93341947	3.872349514	6.367412768	10.38785149	4.555875663	2.9154555	2.732975497	10.55792889	0
