Symbol	E3_wt_male_IB130	E3_wt_male_IB131	E3_wt_male_IB132	E3_wt_male_IB133	E3_wt_male_IB134	E3_wt_male_IB32	E3_wt_male_IB34	E3_wt_male_IB35	E3_wt_male_IB36	E3_wt_female_IB129	E3_wt_female_IB135	E3_wt_female_IB31	E3_wt_female_IB33	E3_KO_male_IB136	E3_KO_male_IB138	E3_KO_male_IB139	E3_KO_male_IB38	E3_KO_female_IB137	E3_KO_female_IB37	E3_KO_female_IB39	E3_KO_female_IB40	E3_KO_female_IB41
Mdh2	345.6463906	391.9979324	580.1234257	350.463546	289.8627267	397.3652535	531.9476175	498.1477684	509.9471633	551.2083671	270.1624154	567.593718	363.1168424	327.8923409	438.0835066	337.4651133	436.4340722	296.1943157	373.5165308	296.4919181	434.7324772	333.3030291
Mdk	2.035698672	1.48539694	2.408024063	0.649597724	2.141007781	0.757984235	7.791833432	3.184608368	0.743263485	1.418760481	0	4.906331552	0	0.650734132	0	0	5.716561743	0	5.096298345	4.736038862	2.153954966	4.879712709
Mdm1	1.011711876	0	0.997293368	0.538067299	0.886707444	1.151048736	3.44215555	1.318919048	1.539128606	2.742066433	0.387714005	0.956224941	1.00500606	1.347521489	3.534433862	0.511357011	0	1.282001366	0	0	0	0
Mdm2	13.6910319	30.25815396	15.2261581	21.28414347	14.30698213	5.99100523	11.64527732	15.56007855	15.38091334	19.36910369	17.75824928	26.62685269	7.846318373	22.72410025	8.146845866	17.29989861	12.32261823	17.34873537	7.689905085	15.31350524	15.11106437	19.35442048
Mdm4	33.64502439	24.29996605	36.61714528	46.39412057	96.4695777	47.89960837	27.48463194	49.61692837	37.51989812	30.06227437	47.60728052	24.28150349	48.54510433	90.27397817	32.36705191	41.09009994	15.67550025	50.92888179	28.58453871	54.01323404	33.827585	40.87213809
Mdn1	4.763188034	8.796876496	5.891003798	4.861945438	8.090026619	11.75025398	6.190427051	12.57334241	6.535164573	6.391887662	8.163172766	3.418408323	12.9605154	5.390596183	4.518125063	3.40936944	2.076984541	7.310348846	4.258739207	7.399154206	6.559537518	7.623617091
Mdp1	7.666066143	3.227152618	20.05461772	14.58350496	6.20203142	19.94440761	13.16655538	8.456354628	12.38016287	8.904650965	7.118596961	10.8684357	13.18024734	17.43656913	15.45088943	22.35413348	4.139907366	14.57120476	9.226788763	34.29817267	22.54741628	29.68446766
Me1	11.585897	14.22536453	21.08451598	52.37551906	15.23156151	7.927366577	11.18129187	17.81493247	13.82943842	20.87684035	29.20162819	27.27088972	11.50910351	17.09336848	21.12734343	18.01829401	17.37981799	23.71577087	23.2410866	25.05387067	15.21651186	17.09059011
Me2	0	0	3.840087253	1.726527556	4.552366851	4.700737264	0	0.564278876	0.790190507	2.011114653	1.741712386	7.517320501	0.644964174	3.459095897	2.592260948	0.984492429	1.012914199	3.290905341	6.772575703	0	2.185859501	4.150240382
Me3	0.243165837	1.108949088	0.359550504	0	0	0.52816064	0.077561729	0	0.221958546	0.706133649	0.139781102	0.086186064	0.362331132	0	0	0	0	0	0	0	0	0.145721398
Mea1	48.07157007	55.38408589	77.93827882	47.43223383	13.30483407	49.06594381	65.77142256	41.22930476	45.03380364	69.79794866	29.81497623	72.18801056	35.81470703	32.35078258	60.6095298	35.48665467	71.04869594	19.23612526	39.5873175	25.75221131	44.7190423	34.87251833
Meaf6	43.66991946	47.57594136	48.42849763	53.22474505	66.97981536	55.70664963	60.36002474	33.20935781	65.32827856	47.2029386	54.39016713	49.01389639	36.15038922	63.98142787	54.48630675	76.3337518	51.09666489	59.9481986	49.34857387	56.44320288	84.5957095	49.4321582
Mecom	0	0	0	0	0	0.059906094	0.184744597	0.251690523	0	0	0	0.068428979	0	0	0	0	0	0	0	0	0	0
Mecp2	0.10343957	0	0.254913479	0.330078859	0.679941389	0.288864819	0.230956223	0.539396336	0.188836532	0.720912072	0.178383164	0.733248513	1.078916513	0.3306563	0.46461603	0	1.452372836	0	0.647393102	0.300814305	0.870613108	0.123975958
Mecr	19.47236374	0.362461295	16.06099819	5.706451213	4.179529027	17.01637758	22.56251543	13.46967862	7.980214903	7.847220461	12.33565611	21.40921129	15.39568558	3.810956063	5.354899557	7.230901757	5.579740519	6.042761863	9.948645236	0	9.747499336	5.715504939
Med1	9.451553922	22.669234	15.59710407	12.73430669	10.4927437	16.94452834	16.70382634	13.50804366	9.58583655	13.25566108	17.70793931	11.21611283	16.69139067	13.42798328	10.79674636	15.07462141	6.881116289	11.97663617	9.6399213	13.43770679	8.923100133	13.84535695
Med10	208.3355748	373.8586424	241.8220452	219.3070554	375.9927587	208.467648	206.8270775	138.2090476	190.1659458	163.23975	430.141477	365.7098649	183.6875925	232.4977936	254.7076818	300.0132177	144.240392	400.678224	81.0116335	164.9097523	471.9437543	378.9787551
Med11	76.50013638	22.89499614	44.18548091	29.56071534	33.00017899	100.8826712	56.80851338	54.53955276	78.55684706	45.12424364	24.73606632	58.04132115	60.55698495	40.120065	85.00844484	55.28033883	78.3213971	20.44784969	22.44320362	52.1417102	50.59007838	35.09935087
Med12	2.704705363	0.114741506	2.294136811	2.810027329	2.3153908	2.615301354	5.697899267	3.279992044	5.856268644	5.918080448	0.79546319	0.891755886	4.12389192	1.809606342	4.237895529	2.098276945	3.238279619	2.630250347	3.543034454	5.853468181	3.448711003	1.206208137
Med12l	8.608948821	5.487051945	12.52489822	6.123148095	8.181596354	10.33100329	5.161091427	12.98089267	12.02389201	14.63836766	7.274074835	6.984898851	15.30066547	7.211429937	4.814153721	5.03281114	6.068092626	5.914474825	12.33408662	6.636001744	7.383022531	9.758710966
Med13	0.72122488	3.494690242	1.333024265	2.804893203	11.14097839	0.727309892	2.32922076	1.762922677	1.563520667	2.617972382	3.679467422	0.319532619	4.836000146	6.195969429	3.509459921	4.374408257	2.320670903	6.854307806	1.974831822	1.04870293	2.579871788	2.052981702
Med13l	1.257555866	3.858116795	3.380819152	4.286506339	3.607120157	6.562536992	2.62549998	5.067278941	2.087055078	3.187059585	5.651698088	2.309638152	4.258706422	2.923577984	1.968424078	2.253546771	2.407782595	2.172988868	1.788776046	2.659722739	2.36430501	1.507224872
