Symbol	E4_wt_male_IB57	E4_wt_male_IB58	E4_wt_female_IB155	E4_wt_female_IB156	E4_wt_female_IB157	E4_wt_female_IB158	E4_wt_female_IB59	E4_KO_male_IB161	E4_KO_male_IB162	E4_KO_male_IB60	E4_KO_male_IB62	E4_KO_male_IB63	E4_KO_male_IB64	E4_KO_female_IB159	E4_KO_female_IB160	E4_KO_female_IB163	E4_KO_female_IB61
Tfdp2	4.106163617	2.927203282	5.830487037	6.816275344	6.913707143	4.575230307	0.819011592	5.015754735	4.817585397	4.640221181	3.868803915	3.466693856	4.629839438	10.80567964	7.442237482	6.270690376	4.96327962
Tfe3	19.68095061	14.1767265	18.89367678	19.5338129	15.47128507	14.09306992	25.49926133	14.43958647	7.725471589	9.414202406	12.1852676	20.54872561	20.39806048	14.65679742	27.13840567	38.4149356	28.00814264
Tfeb	23.3772985	27.26614558	19.30686171	15.91951113	19.21595106	32.64288003	37.65222552	53.69859908	73.45965151	68.70795068	65.93700781	42.90824833	44.64815794	64.8891079	32.80796604	30.92287117	38.58853343
Tff1	0	0	0	0	0	0	0	0	0	0	0	0	1.397139121	0	0	1.179902238	0
Tfg	68.69991595	45.52620338	56.03747232	46.205809	88.55944424	76.78912115	52.49928771	96.2653923	46.01413222	57.31900107	77.32873666	79.53792704	46.62485627	21.82728688	93.22343952	79.61917308	55.18930833
Tfip11	13.50057103	18.21609206	14.61016431	7.341564526	13.65192548	14.04951705	19.99489838	10.95258524	14.50376682	17.36945544	15.89255071	14.64818477	24.46272894	27.3844897	9.882450969	12.55437259	11.13702002
Tfpi	10.92718632	0.219267775	9.626190131	8.146170336	5.826200519	0.787518534	0	0.694814905	0.586957996	0.615395801	4.003286147	0.809001054	0.883376323	0	2.061894091	3.580909649	1.254770922
Tfpi2	0	0	0	0	0	0	0	0	4.1196044	0	0.456125562	0	0	1.208399626	0.516840827	0	0
Tfpt	6.057527301	7.596995313	13.34078779	6.513260354	6.728700875	14.32475281	5.739086728	12.51813177	10.16819994	8.528675075	26.47953124	14.94909372	9.794060495	3.340543788	15.00212218	12.40681803	18.8388155
Tfr2	0.564658432	0	0.621787401	0	0.250889018	0.25434211	0	0.359043109	2.729775945	1.192513394	0	0	4.564815448	0	0.532738186	1.927523136	0.540331976
Tfrc	28.57879499	7.927373396	32.39583217	32.77749011	85.45094095	32.71230835	14.44075994	7.268832847	6.140483655	6.272303353	1.399750401	2.281797845	7.746530831	44.12896412	39.33459497	24.9056857	6.756458813
Tg	0	0.294748289	0	0	0	0	0	0.062266485	0.420806302	0.068936585	0	0	0	0.288014325	0	0.066855532	0
Tgds	7.294439609	8.416397501	5.221092528	12.54916918	8.426769493	8.214183387	4.607316866	8.11691054	11.36288487	7.189127102	4.555214219	5.850524179	3.833034217	0.268177577	7.226187768	4.482065719	1.396036523
Tgfa	0.390681147	0	0.430208072	1.120196587	0.173587436	0.351953187	0	0	0.314783811	0	0	0	0	0	0	0	0
Tgfb1i1	0	0	0	0	0	0.491873771	0	0	0.293285027	0	0	0	0.220698116	0	0	0	0
Tgfb2	0.349669962	0	0	0	0	0	0	0.333511154	0.187826559	0	1.019018292	0	0.424020635	0.257109931	0.164951527	0.119363655	0
Tgfb3	0	0	0	0	0	0.219853771	0.616577412	0	0	0	0	0	1.775625554	0	0.920999665	0	0
Tgfbi	9.254241438	3.713960517	13.92706261	9.729354931	8.497811512	11.67162458	6.234845527	0.196146403	0.165698374	1.085789828	0	0	0	0	0	0	0.590370188
Tgfbr1	6.998336342	3.949606264	3.532094826	1.672188974	5.95987614	4.85979272	4.788649668	6.860346809	6.34362158	6.260940863	6.191264508	4.857433085	2.475199877	3.001733487	9.766521994	3.782517516	3.06938316
Tgfbr2	0	0	0.189990595	0	0.153321066	0	0.435905292	0	1.482841254	0.121459698	1.580244532	0.212895014	1.534285192	2.156678698	0.976686675	1.060137725	0
Tgfbr3	0	0	0.150284977	0	0.242557828	0	0	0.08678012	0.073309143	0.288228497	0	0	0	0.20070121	0	0	0
Tgfbrap1	1.49168524	2.095278195	2.62816892	2.566257511	2.386027948	4.165828	5.653072969	2.276403327	3.685816411	1.995202528	3.22928332	3.681261568	1.80886376	5.593812354	2.251775995	1.629449678	0
Tgif1	35.21872198	29.13621007	30.61733248	39.86144566	43.9252814	33.11907134	45.27024806	26.32293534	18.7519251	26.0979371	31.63948904	33.54601229	40.95906133	22.0343884	41.9719593	45.34725242	60.89909137
Tgif2	10.65547484	9.205946918	11.40760439	6.789410769	8.153758233	10.93242766	3.739008492	4.140509313	3.656763039	7.084438222	10.84372744	5.478366149	7.178421713	7.399625658	6.702079253	10.71001193	7.364080154
Tgm1	0	0.275725944	1.513098748	0	0.732635993	4.703890646	0	0	0.147618179	0	0	0.678204476	0	0	0	0	0.525951884
Tgm2	1.862147728	0.467079284	0.512637344	0.667414957	0.413694711	0	0.588085247	0	0.125032473	0	2.713362316	0.574438618	0	0.342306121	0.658830065	0.476748326	0
Tgm3	0.40199284	0.604986999	1.106660544	1.152630502	0.714453786	1.086430679	2.031255027	1.78927517	1.295591957	0.141496115	0.502071056	0.496029843	1.787386253	0.738956462	0.75853622	0.411673919	0.384674297
Tgm4	0	0.89862543	1.315034286	0.856037471	1.061223369	1.61374416	0.754287871	0.759349574	2.726268222	2.101731231	0.745757875	0.36839224	1.20678081	2.414761233	0.845026346	2.649769608	0.571381049
Tgm5	0	1.30988888	0.359413262	0	0	0	0	0.415077098	0	0	0	0	0	0	0	0.445668328	0
Tgm6	0	0	0	0	0	0	0	0	0.402181491	0	0	0	0.201762085	0	0	0	0
Tgoln1	6.906051353	2.639592958	7.785832722	8.014957523	6.57534971	6.665849059	4.154288495	5.227707681	3.444639643	3.472625587	1.5060133	3.246309962	2.525640426	0.120904103	7.756727373	3.143274592	4.090992777
Tgs1	6.49115778	4.2140763	11.35254177	12.59049704	8.482797151	13.75927922	9.164588921	9.954463961	8.306669718	5.779202302	3.179280551	5.418269135	6.327971459	1.544174794	7.745326221	6.517139701	6.576890345
Th	0	0	0	0	0	0	0	0.896892546	0.505111264	0	0	0	0	0	0	0	0
Tha1	0	0	0	0	0	0	0	0.285478298	0.482326354	0	0	0	0	0	0	0.306518081	0
Thada	1.88319594	2.729184005	4.493075447	7.799524789	8.739300779	8.859583511	5.286510993	4.590213359	1.629745075	4.492716683	2.439139529	4.389261038	7.781229737	1.000061899	3.948307834	4.285663144	3.20367044
Thap1	5.101602999	8.043364866	8.025363629	7.313890505	5.828770524	3.611052123	5.52390262	3.475606977	3.327562493	4.617504442	6.068260672	8.543222423	1.472943317	8.574111507	12.0330211	5.473247434	6.276622082
Thap11	39.33787075	35.88018133	34.45738513	20.5078414	25.42342045	19.33000039	32.75233856	28.99273102	17.52870017	21.71368138	41.68711195	34.19868092	27.46497295	44.70206755	17.29179363	25.02567539	34.22102516
Thap2	0.969595406	1.216009667	2.402310653	4.170168455	4.092700717	2.838810209	3.062081191	6.781784913	7.812328263	3.924773394	5.853076017	6.580255052	8.034369865	2.49527904	9.83392798	2.813346709	3.247382493
Thap3	8.898692485	2.232043596	6.53267481	8.505047333	9.884666949	2.672190359	1.873531903	8.958995771	14.73823077	9.396662989	0	5.490168733	1.798471724	9.814721559	5.597098502	9.619274797	17.03064304
Thap4	45.89418254	51.41829319	28.21676982	25.22179662	26.50921236	23.08413704	34.78524233	26.99355904	43.55228334	40.11611376	34.71031057	39.64105165	40.19362269	36.83903231	24.17570822	37.33844332	30.7418876
Thap7	12.77466937	4.27233087	8.596584743	16.2794205	6.306711902	7.672216648	8.965268643	9.025430718	9.911723693	9.492638833	13.59128779	14.88728744	11.47478522	0	5.356673309	6.298893905	9.507800289
Thbd	0.444376162	0	1.46800694	1.91123374	4.146349267	0.800650904	0.561354099	0	0.835444249	0.156414479	0.185001976	1.644983316	3.592428725	2.123853888	1.677021983	1.061848544	1.700926694
Thbs1	2.278097996	0.142852842	0.313572895	0.408248136	1.138729988	0.256533959	0.719446584	0.18106862	0.61184453	1.002325115	0	0.527063768	0	0.314075601	0.940326054	0	1.634965214
Thbs2	0	0	0.921656502	0	0.619808566	0.125667851	0	0	0.37465404	0	0.116149501	0.172127884	0	0	0.131610261	0.095236959	0.533945073
Thbs3	0	0	0	0	0	0	0	0	1.115275515	0	0.216097187	0	0	0	0	0.177189214	0
Thbs4	0	0	0	0	0	0	0	0	0.138582213	0	0	0	0	0	0	0.352275621	0
Theg	0	0	0	0	0	0	0	0	0	0	0	0.816125963	0	0	0	0.45155586	0
Them4	3.820093807	7.18640626	6.309884167	4.107495403	8.06238384	11.18458404	10.85782131	9.10890291	0.769491755	2.689244077	8.74706453	4.713717124	4.246333815	0.351111105	4.505178997	9.12821477	11.8804322
Them5	3.962087701	0	7.271582473	1.893409818	1.173623126	0	0	0	0.35470843	0	0	3.259284822	0	0	4.361128509	4.057505537	3.791394154
Thg1l	10.55712825	11.47478004	27.12555813	5.045060026	19.54476213	15.85101203	22.22699191	29.08899204	24.10090789	44.59161904	31.49840887	26.05345247	28.4486688	2.58752806	27.39091256	17.41832249	31.99064524
Thnsl1	3.389978089	0.637726742	0.466619629	3.037516905	1.882793705	2.099578139	1.070589659	1.347217409	1.479513514	0.596613523	1.940551633	0.784309819	1.884113234	1.713681542	1.599171001	1.591158237	2.432949006
Thnsl2	0	0	0	1.280354423	0	0.402272981	1.128170022	0	0	0	0	0	0	0	0	0.609722454	0
Thoc1	15.0004332	14.19012307	19.34976584	11.67430816	33.51538851	20.84932337	9.203877349	22.7553233	18.76255771	14.33129909	20.69756998	12.95660832	22.52094034	21.90186446	29.51797953	15.6542879	13.94406908
Thoc2	10.62571702	11.7487697	16.59598641	15.54440007	39.79312543	32.13590365	11.77922631	25.37118585	12.40539077	10.68603024	6.138986692	7.893573744	14.02457015	40.81902777	76.92686268	39.45510077	16.60072306
Thoc3	24.86099312	28.15036238	29.72282782	17.31175692	22.40807818	29.11550144	26.91893216	34.32612653	36.62860151	34.00286686	31.05026718	25.85603541	40.19628117	28.98704451	30.82735551	39.03822718	27.1885015
Thoc5	13.30623279	13.35031713	20.35067041	15.897018	16.4228471	15.64994886	27.08112826	17.86187255	17.47165172	12.48964363	14.77234571	19.15540751	10.15942058	13.86064108	10.1129678	13.62668303	11.31820215
