Symbol	troph_wt_male_IB178	troph_wt_male_IB179	troph_wt_male_IB182	troph_wt_male_IB82	troph_wt_male_IB83	troph_wt_female_IB180	troph_wt_female_IB181	troph_wt_female_IB84	troph_KO_male_IB183	troph_KO_male_IB184	troph_KO_male_IB190	troph_KO_male_IB85	troph_KO_male_IB86	troph_KO_male_IB88	troph_KO_male_IB90	troph_KO_male_IB91	troph_KO_male_IB93	troph_KO_female_IB186	troph_KO_female_IB187	troph_KO_female_IB189	troph_KO_female_IB191	troph_KO_female_IB87	troph_KO_female_IB94
Bcl7b	28.23889342	16.91174178	12.32132836	19.52249567	5.99767278	21.33580005	18.15838158	7.583543536	19.71386406	9.74129467	21.85354021	54.47946485	45.06980371	32.62819959	60.98402293	26.97245969	23.35624576	11.12635717	18.2186435	11.25761002	22.55002949	32.59684337	10.11188448
Bcl7c	4.276519992	2.780652535	0.850873909	5.617353677	0	7.229231519	5.532190865	2.182069694	0	0	3.144041277	0	0	5.633013525	0	0	0	3.201469956	1.850183485	0	0.905370506	3.390120547	0
Bcl9	1.774222611	1.153624117	0.706013175	5.826253545	0	0	0	1.810573736	0.784448685	1.744303194	0.978288854	0	0	5.842495756	0.503998523	0.371520255	0	1.992316321	0.383797735	0	0.939039701	0.703238678	0.60355401
Bcl9l	1.316747569	1.888604798	0.770545535	2.034814677	0	3.803345429	0.333994256	4.742561385	1.369840571	3.045982905	2.847222065	0	0	11.47774082	0.880105528	0.216255283	0.260828946	12.75660795	3.015924093	3.08010154	2.45969183	0.49121116	4.2158157
Bclaf1	40.85981973	43.91037319	39.89544011	33.79269786	64.12253389	21.13559572	36.21688208	47.87430503	43.49130789	30.50004005	30.31774677	103.0305171	111.403526	34.88357752	136.7039161	122.5303863	33.88882486	19.2593013	23.56999423	21.06260855	26.43153993	49.30592816	29.85854948
Bco2	0	0.646585469	0	0	0	0	0	0	1.758677244	0	0	0	0	0	0	0	0	1.488876389	0	0	0	0	0
Bcor	60.87238821	31.57984307	27.40882131	31.7047929	41.81202144	22.22567589	48.74010097	19.52501021	16.13793348	29.5177904	56.04892701	25.51441984	45.4307346	17.8351976	35.67628915	21.94290842	18.6350189	21.15436354	22.15865256	23.74496539	6.979489604	11.94715235	16.82236758
Bcorl1	1.347540177	0.98571295	0.53622421	1.770039608	0	2.223708805	1.162136421	1.375149228	1.191593561	2.64963215	0.990693823	0.10895893	0	0.887487029	4.083114889	0.846520273	3.176449423	5.043948585	1.020244036	2.679311185	0.285284094	0.213646781	0
Bcr	7.070617726	5.952008658	10.92781383	15.75557284	6.623711033	13.97508187	10.07224898	9.019354925	8.931938885	19.86109459	14.852072	2.041834004	3.828784508	14.76005513	6.934213728	10.75182762	8.503574254	5.198654366	12.56381289	1.793175223	12.83058339	9.208349463	4.295140364
Bcs1l	5.866478218	2.567428632	1.346790578	2.963775997	1.821053919	3.81422002	3.891790913	1.151283354	1.995218852	2.218288261	4.976489611	0	12.26877081	0	2.99110769	2.834847827	0.759812259	1.689129857	3.904706534	2.563583693	3.821465447	1.073198358	10.74583532
Bdh1	6.809969955	11.27111184	12.81033686	21.14302487	6.995185515	17.24292509	18.15293352	13.26721943	8.759088582	20.69404048	27.76387486	0.800928226	0	46.48123446	4.455187662	29.21139774	26.26789295	13.90377366	17.14181399	9.144063825	17.82490626	27.48306546	13.47846748
Bdkrb1	0.308433617	3.509586673	0	0	0	0	0	0	0	3.032323789	0	0	0	0	0	0	0	0	0	0	0	0	0
Bdnf	0.150422518	0.244517013	0.299286795	0.987925332	0	0.12108635	0	0	0	0	0.276471645	0.364884333	0.157291933	0.247669858	0	3.98978583	1.266353766	0	0	0.427263949	0	0	0.511706444
Bdp1	15.34930573	12.03590076	11.25578992	11.47421351	11.75030406	6.730398201	8.60971948	7.004133597	16.18458143	15.54031557	10.09192566	27.98380736	30.62165258	9.86245791	66.01403572	36.00287537	15.26831286	15.88149823	7.918434711	12.28794062	3.962878158	13.19006684	4.528145559
Bean1	4.016094932	3.165237035	2.179250929	3.197137304	1.964439762	0.979653202	1.049555526	0.620966457	2.152318066	3.589427216	3.578885087	0.393614535	0.25451514	0	0.460945862	1.359136715	0	0.911064143	0.789779002	0	0.515294921	0	2.483986956
Becn1	19.30329741	30.38728854	30.32102371	18.68302515	6.559739276	49.23304807	19.275958	16.58845696	3.593555175	11.98596523	23.90152502	32.85935226	0	14.72044278	1.154407252	38.29347618	21.89576165	12.1690537	14.94449043	11.54306887	36.56475417	36.40331808	47.00292009
Bend3	8.118600981	10.09187479	9.094602841	9.857531705	4.955590768	8.182816947	10.59063816	2.784853371	7.239388885	2.682922288	7.272771958	0.330983689	0.713391337	2.920571775	6.201623086	3.619103133	8.270636206	3.064392635	5.460472915	3.100541956	3.899723677	1.514317361	2.320824315
Bend4	0.728113234	0.169081896	0.206954839	2.732575324	2.09874456	0.16746082	0.897049222	8.491784772	2.759361271	2.045242208	0.955891567	12.11112489	0.108766331	1.02757241	1.575871373	1.960278516	1.576215451	0.778681413	0.225006561	1.772701162	1.651573796	0.659652946	6.369149163
Bend5	0.216291499	0.703178642	0	0	0	0	2.797989615	23.17591319	0	0	0	0	0	0	14.33631018	0	0	0	0.935758419	4.914879008	6.410668517	0	22.07337465
Bend6	0.180054179	0.878052911	0.35824316	0	1.453188315	3.623477321	0.776405495	0	0	0	1.323734657	0.29117515	0.376553595	0	2.72786635	0.251354308	7.275898547	6.739569171	1.557964278	7.160026618	1.143563531	0.285468266	0
