Symbol	E3.5_WT_male_XK144	E3.5_WT_male_XK145	E3.5_WT_male_XK146	E3.5_WT_male_XK149	E3.5_WT_male_XK49	E3.5_WT_male_XK53	E3.5_WT_male_XK55	E3.5_WT_male_XK56	E3.5_Xist_female_XK147	E3.5_Xist_female_XK148	E3.5_Xist_female_XK50	E3.5_Xist_female_XK51	E3.5_Xist_female_XK52	E3.5_Xist_female_XK54
1700061G19Rik	0	0	0.07726118	2.527250732	2.075611648	3.194158508	1.258637703	6.313572546	0.257294584	0	6.186974304	0	0	0
1700063D05Rik	0	3.80461694	7.223211971	2.268756403	2.395687163	3.016409464	3.268641284	4.372304824	1.113642813	1.462178011	4.284632416	2.304008673	4.589184346	0
1700066M21Rik	0	0	5.740117665	4.355895887	1.83580384	3.911702263	4.881040543	5.007305815	5.356596006	3.533758945	0.471447305	2.897314531	4.544620267	16.66001956
1700080O16Rik	0	0	8.348883448	5.373417357	0	6.128594423	4.250282752	6.091499549	17.26851003	0	5.710682242	2.62145691	0	0
1700086O06Rik	0	0	5.009573271	4.760074839	1.979140314	1.661290246	0.800092066	2.064043581	0.327114554	0	4.300016562	0.845956576	3.369996583	0
1700095A21Rik	16.15019907	2.523361469	1.774332982	1.504722442	1.588907576	5.668347875	2.529196553	7.042548449	2.954435002	1.454655112	1.515586845	0	3.043715342	0.852056787
1700096K18Rik	5.106348063	1.329721685	0.261802893	7.929351721	3.809704724	6.887711143	7.463660774	3.97313749	10.13530244	6.439032358	11.88007235	6.388363592	3.143702127	4.714537814
1700101E01Rik	6.257740831	0	0	0	1.311615597	1.376212555	0.596516517	1.709853348	5.731261692	1.400924608	3.753271825	0	0	0.703358074
1700113A16Rik	0	0	7.911214678	13.7922321	3.023854372	5.801652926	5.50093818	6.757660486	6.425820992	6.064022589	6.798748365	2.769654373	4.634002423	0
1700123I01Rik	1.965928176	0	0.117592186	1.139702978	2.106065962	2.872726393	0.718371566	0.823655333	9.006905568	9.961937538	15.44327089	6.751569122	5.648139345	3.670500054
1700123O20Rik	18.65209192	138.5150454	44.68285185	139.0433862	35.29263171	42.64437569	32.7152521	28.36691058	53.92000281	57.89845639	64.11177064	38.04968478	32.72678789	47.25419436
1700128F08Rik	1.587108182	16.31676323	5.980780949	5.796570415	2.677881845	1.605581314	3.479679685	3.989657812	3.69889939	2.334874346	5.473521411	0.490553198	5.276321677	2.051461049
1810009A15Rik	441.711562	560.7987694	280.6590865	826.5061133	113.9266109	225.4549449	131.8883471	128.1750554	304.2743785	378.4318781	323.7031662	257.6481113	306.8559978	310.2809818
1810013L24Rik	6.745794127	19.10686685	15.92274398	9.645198036	6.566529118	10.49894114	11.37686142	11.08760573	26.31909181	13.61379608	10.29005903	14.4348349	26.19597442	10.28449692
1810014B01Rik	2.609911232	8.087662782	4.917531003	5.2483498	4.456052064	4.180458013	1.430534982	4.100481641	2.534431063	0.959892787	3.125313151	2.352838486	9.23899125	5.622522874
1810019D21Rik	0	0	20.28129433	34.34324591	11.35113255	11.47707761	9.386256259	4.573805767	17.94047449	13.69859147	30.75946115	6.285399115	13.83725511	5.533710241
1810022K09Rik	317.1920796	1097.440198	608.288249	1028.622793	268.9711462	405.3272009	268.7336663	288.2403404	707.6619649	638.5561092	374.7382963	628.7032543	850.3518261	710.9617079
1810024B03Rik	0	0	3.146287608	2.72266129	1.341660504	0.281547434	0	0	2.868905743	1.023582355	2.239560893	0.860211769	2.570088231	0.719469752
